User Text,Intent,Response
Is it legal for my landlord to increase rent without prior notice?,legal_rights_question_answering,"As a tenant, you have the right to a habitable living space and fair treatment under the law."
Is the sentiment of this review positive or negative?,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
What are my rights as a tenant?,legal_rights_question_answering,Employers may terminate without notice depending on your contract terms and local labor laws.
Do I have the right to sue for breach of contract?,legal_rights_question_answering,"Yes, you can sue for breach of contract if the other party fails to fulfill their obligations."
Do I have the right to sue for breach of contract?,legal_rights_question_answering,"Yes, you can sue for breach of contract if the other party fails to fulfill their obligations."
What is the sentiment of this customer feedback?,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
Can you detect the tone in this legal letter?,sentiment_and_tone_analysis,The tone of the legal letter is formal and assertive.
Analyze the tone of this email for me.,sentiment_and_tone_analysis,The message sounds polite with a slight undertone of frustration.
Analyze the tone of this email for me.,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
Can an employer fire me without notice?,legal_rights_question_answering,You have the right to report workplace harassment and seek legal redress.
Is it legal for my landlord to increase rent without prior notice?,legal_rights_question_answering,You have the right to report workplace harassment and seek legal redress.
Can you detect the tone in this legal letter?,sentiment_and_tone_analysis,The tone of the legal letter is formal and assertive.
Is the sentiment of this review positive or negative?,sentiment_and_tone_analysis,The message sounds polite with a slight undertone of frustration.
Can an employer fire me without notice?,legal_rights_question_answering,"As a tenant, you have the right to a habitable living space and fair treatment under the law."
Analyze the tone of this email for me.,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
What is the sentiment of this customer feedback?,sentiment_and_tone_analysis,The message sounds polite with a slight undertone of frustration.
Is it legal for my landlord to increase rent without prior notice?,legal_rights_question_answering,You have the right to report workplace harassment and seek legal redress.
What are my rights as a tenant?,legal_rights_question_answering,Landlords typically must provide notice before increasing rent; check your lease agreement and local laws.
Can you detect the tone in this legal letter?,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
What is the sentiment of this customer feedback?,sentiment_and_tone_analysis,The message sounds polite with a slight undertone of frustration.
What are my rights as a tenant?,legal_rights_question_answering,"Yes, you can sue for breach of contract if the other party fails to fulfill their obligations."
Identify if this message sounds angry or polite.,sentiment_and_tone_analysis,The tone of the email is professional and neutral.
Can an employer fire me without notice?,legal_rights_question_answering,You have the right to report workplace harassment and seek legal redress.
